Depressive black,,,,
Heavy,Hard rock,Gothic rock,,
Atmospheric doom,,,,
Heavy,Power,,,
Progressive deathcore,Metalcore,,,
Black,,,,
Technical deathcore,,,,
Black,,,,
Symphonic gothic,,,,
Doom,Pagan black,,,
Neoclassical heavy,Progressive,,,
Death,,,,
Funeral doom,Death doom,,,
Symphonic progressive,,,,
Melodic death,Progressive,,,
Black,Doom,,,
Heavy,,,,
Folk,,,,
Hard rock,Blues rock,Heavy,,
Black,Folk,,,
Heavy,,,,
Atmospheric black,,,,
Thrash,,,,
Black,,,,
Power,,,,
Melodic black,Progressive,,,
Technical death,Grindcore,,,
Neoclassical power,Progressive,,,
Doom,,,,
Progressive death,Alternative,Progressive,,
Black,,,,
Nu,,,,
Groove metal,,,,
Death,,,,
Progressive thrash,,,,
Heavy,Stoner,,,
Power,,,,
Death,Atmospheric death,Brutal death,,
Extreme symphonic,Gothic,,,
Heavy,,,,
Progressive death,,,,
Brutal death,,,,
Blackened thrash,,,,
Folk,,Post-rock,,
Hard rock,Heavy,,,
Sludge,,,,
Thrash,,,,
Progressive metalcore,,,,
Viking folk,,,,
Atmospheric sludge,,,,
Thrash,Power,,,
Melodic death,Thrash,,,
Death,,,,
Atmospheric doom,,,,
Industrial thrash,Groove thrash,,,
Black,,,,
Viking folk,Pagan folk,,,
Atmospheric black,Ambient black,,,
Instrumental power,,,,
Heavy,,,,
Heavy,,,,
Industrial black,,,,
Celtic folk,,,,
Heavy,,,,
Melodic black,Progressive black,,,
Thrash,,,,
Heavy,Power,,,
Progressive power,Progressive heavy,,,
Melodic death,,,,
Speed,Thrash,,,
Thrash,,,,
Grindcore,Hardcore,Punk,,
Extreme avantgarde,Dark cabaret,,,
Heavy,Glam,,,
Blackened thrash,Melodic death,Thrash,,
Black,,,,
Psychedelic doom,,,,
Progressive,Fusion,Instrumental,,
Heavy,Power,,,
Black,Pagan folk,,,
Doom,,,,
Extreme folk,Melodic death,,,
New wave of british heavy,Heavy,,,
Symphonic progressive,Acoustic,Folk,,
Doom,,,,
Black,Death,,,
Metalcore,,,,
Death,Industrial death,Thrash,,
Black,Avantgarde black,Industrial black,,
Black,,,,
Thrash,,,,
Ambient black,,,,
Atmospheric black,,,,
Melodic death,Metalcore,,,
Melodic death,,,,
Funeral doom,,,,
Heavy,Power,,,
Speed,Thrash,,,
Brutal death,,,,
Brutal death,Death,,,
Atmospheric black,Ambient,,,
Symphonic black,,,,
Power,,,,
New wave of british heavy,Heavy,Doom,,
Melodic death,,,,
Melodic death,,,,
Melodic black,Post-metal,,,
Progressive,,,,
Math,Hardcore,Metalcore,,
Melodic death,Nu,,,
Progressive,,,,
Gothenburg,Metalcore,,,
Progressive rock,Symphonic rock,,,
Progressive,,,,
Progressive,,,,
Black,Folk,,,
Black,Folk,,,
Heavy,Power,,,
Black,,,,
Power,,,,
Progressive,,,,
Gothic,Doom,,,
Hard rock,,,,
Power,Heavy,Hard rock,,
Progressive,Symphonic power,,,
Progressive thrash,,,,
Heavy,,,,
Metalcore,Trancecore,,,
Doom,Gothic,,,
Gothenburg,,,,
Glam rock,Glam,,,
Black,,,,
Symphonic gothic,,,,
Melodic black,,,,
Brutal death,,,,
Death,,,,
Heavy,Death,Thrash,,
Technical death,,,,
Black,,,,
Progressive,Fusion,,,
Doom,Folk,,,
Symphonic,Melodic death,,,
Power,Symphonic,,,
Avantgarde,Progressive,Symphonic,,
Power,,,,
Symphonic black,Pagan folk,,,
Black,,,,
Industrial,,,,
Experimental black,Noise,Drone,,
Heavy,,,,
Black,,,,
Symphonic power,Adult,Oriented rock,,
Viking black,,,,
Black,,,,
Black,Speed,,,
Alternative,Hard rock,,,
Black,Death,,,
Hard rock,,,,
Djent,Ambient,,,
Black,Folk,,,
Brutal death,,,,
Progressive power,,,,
Blackened sludge,Death,,,
Death doom,,,,
Thrash,,,,
Heavy,Progressive,,,
Power,,,,
Glam,Hard rock,Heavy,,
Industrial heavy,Medieval folk,,,
Hard rock,,,,
Technical death,Progressive grindcore,,,
Grindcore,,,,
Avantgarde,,,,
Progressive thrash,,,,
Avantgarde,Symphonic,,,
Progressive,,,,
Black,Doom,,,
Black,Sludge,,,
Experimental progressive,Math,Metalcore,,
Progressive power,,,,
Power,Hard rock,,,
Experimental black,,,,
Melodic death,,,,
Black,Avantgarde,,,
Death,,,,
Heavy,Power,,,
Atmospheric black,,,,
Thrash,,,,
Progressive power,,,,
Gothic,Atmospheric rock,,,
Folk,,,,
Doom,,,,
Deathgrind,,,,
Blackened folk,,,,
Folk,,,,
Blackened death,,,,
Heavy,,,,
Doom,,,,
Folk,,,,
Progressive,Progressive rock,,,
Death doom,Post-metal,,,
Electronic symphonic,,,,
Black,,,,
Doom,,,,
Gothic,,,,
Blackened death,Sludge,,,
